TOPIC,SUBTOPIC,SUBTOPIC_ID,TAXONOMY,TAXONOMY_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,NESTING_LABEL,NESTING_LABEL_ID,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_LCI,ESTIMATE_UCI,FLAG,FOOTNOTE_ID_LIST
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2020,,11.4,,10.6,12.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2021,,11.3,,10.6,12.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2022,,12.5,,11.7,13.3,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2023,,12.7,,11.9,13.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,South,46,46,,,"Percent of population, crude",1,2024,,12.3,,11.5,13.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2019,,10.7,,9.9,11.6,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2020,,10.3,,9.4,11.2,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2021,,11.7,,10.8,12.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2022,,11.9,,11.0,12.9,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2023,,12.5,,11.6,13.5,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
"Regularly had feelings of worry, nervousness, or anxiety",,,Mental wellness,200,Geographic Characteristic,2,Region,14,14,West,47,47,,,"Percent of population, crude",1,2024,,12.2,,11.3,13.1,,"NT_NHISA00,NT_NHISA999,FN_NHISA06,FN_NHISA40,SC_NHISA00"
